Nama,Harga
TEAM TCREATE EXPERT OC10L DDR4 PC25600 DUAL CHANNEL 32GB,Rp1.241.000
GSKILL DDR5 TRIDENT Z5 RGB PC54400 32GB,Rp2.535.000
CORSAIR DDR5 VENGEANCE RGB PC44800 64GB,Rp3.911.000
KLEVV DDR5 VALUE SERIES PC44800 5600MHZ 32GB,Rp1.737.000
GEIL DDR4 ORION PC25600 DUAL CHANNEL 32GB,Rp1.079.000
GEIL DDR4 ORION PC25600 DUAL CHANNEL 16GB,Rp657.000
GEIL DDR4 ORION PC25600 SINGLE CHANNEL 16GB,Rp565.000
GEIL DDR4 ORION PC25600 SINGLE CHANNEL 8GB,Rp339.000
PATRIOT DDR4 VIPER STEEL SERIES PC32000,Rp1.430.000
KINGSTON FURY BEAST RGB DDR5 6000MHZ 16GB,Rp1.471.000
TEAM TCREATE EXPERT OC10L DDR4 PC28800 DUAL CHANNEL 64GB,Rp2.446.000
GSKILL DDR5 FLARE X5 PC44800 32GB,Rp1.949.000
KLEVV CRAS XR5 RGB DDR5 PC49600 6200MHZ 32GB,Rp2.100.000
CORSAIR DDR5 VENGEANCE RGB PC41600 64GB,Rp3.634.000
CORSAIR DDR4 VENGEANCE RGB RS PC28800,Rp881.000
CORSAIR DDR5 VENGEANCE RGB PC41600 32GB,Rp2.081.000
CORSAIR DDR5 VENGEANCE RGB PC41600 CMH32GX5M2B5200C40W WHITE,Rp2.081.000
TRANSCEND JETRAM DDR4 PC25600 3200MHZ DUAL CHANNEL 32GB,Rp1.246.000
PATRIOT VIPER VENOM DDR5 PC49600 32GB,Rp2.767.000
ADATA DDR4 XPG SPECTRIX D45G WHITE VERSION PC28800 32GB,Rp1.449.000
KLEVV DDR4 VALUE SERIES PC25600 3200MHZ 32GB,Rp1.100.000
KLEVV DDR4 VALUE SERIES PC25600 3200MHZ 16GB,Rp627.000
ADATA DDR4 XPG SPECTRIX D45G WHITE VERSION PC28800 16GB,Rp848.000
CORSAIR DDR4 VENGEANCE RGB PRO SL PC28800 64GB,Rp2.874.000
CORSAIR DDR5 DOMINATOR PLATINUM RGB PC41600 64GB,Rp4.167.000
CORSAIR DDR5 VENGEANCE PC41600 32GB,Rp1.930.000
TEAM TCREATE EXPERT OC10L DDR4 PC28800 16GB,Rp680.000
TEAM DELTA RGB DDR5 PC51200 6400MHZ DUAL CHANNEL 32GB,Rp2.373.000
KINGSTON FURY BEAST DDR5 5200MHZ 16GB,Rp980.000
CORSAIR DDR4 VENGEANCE RGB PRO SL PC28800 16GB,Rp1.168.000
CORSAIR DDR4 VENGEANCE RGB RT PC28800 32GB,Rp1.878.000
CORSAIR DDR4 VENGEANCE RGB RS PC25600 16GB,Rp860.000
VCOLOR DDR4 PRISM PRO RGB 16GB,Rp881.000
ADATA DDR4 XPG SPECTRIX D45G PC28800 32GB,Rp1.449.000
CORSAIR DDR4 VENGEANCE RGB RS PC25600 8GB,Rp557.000
CORSAIR DDR4 VENGEANCE RGB RT PC28800 16GB,Rp1.330.000
KINGSTON FURY BEAST DDR4 3200MHZ 8GB,Rp415.000
TRANSCEND JETRAM DDR4 PC25600 3200MHZ DUAL CHANNEL 16GB,Rp688.000
CORSAIR DDR4 VENGEANCE RGB RS PC28800 32GB,Rp1.669.000
CORSAIR DDR4 VENGEANCE RGB RS PC28800 16GB,Rp1.147.000
CORSAIR DDR4 VENGEANCE RGB RS PC25600 32GB,Rp1.627.000
CORSAIR DDR4 VENGEANCE RGB RS PC25600 16GB,Rp1.058.000
CORSAIR DDR4 VENGEANCE LPX PC25600 16GB,Rp871.000
ADATA DDR4 XPG SPECTRIX D45G PC28800 3600MHZ 16GB,Rp848.000
KINGSTON FURY BEAST DDR4 3200MHZ 16GB,Rp765.000
CORSAIR DDR4 VENGEANCE LPX PC25600 32GB,Rp1.481.000
