Nama,Harga
SAMSUNG SSD 990 PRO M2 PCIE GEN 4X4 2TB WITH HEATSINK,Rp3.839.000
SSD CORSAIR MP600 GS 500GB M2 NVME PCIE GEN 4X4,Rp1.095.000
SSD ADATA LEGEND 800 500GB NVME PCIE GEN 4X4,Rp729.000
V GEN SSD PORTABLE PLATINUM 512GB,Rp876.000
TEAM CARDEA Z44L 250GB M2 PCIE GEN 4X4,Rp463.000
CORSAIR MP600 PRO NH 1TB M2 NVME PCIE GEN 4X4,Rp1.820.000
CUBE GAMING SSD 2TB SATA 2I,Rp1.439.000
VENOMRX VRX NVME 1TB M2 PCIE GEN 3,Rp968.000
PNY XLR8 GAMING CS3040 M2 2280 NVME PCIE GEN 4X4 1TB,Rp985.000
CORSAIR 2TB CSSD F2000GBMP600PNH MP600 PRO NH M2 NVME PCIE GEN 4X4,Rp3.080.000
KLEVV SSD CRAS C930 2TB M2 2280 NVME PCLE GEN 4X4 HEATSINK,Rp2.353.000
KLEVV SSD CRAS C930 1TB M2 2280 NVME PCLE GEN 4X4 HEATSINK,Rp1.439.000
KLEVV SSD CRAS C910 1TB M2 2280 NVME PCLE GEN 4X4,Rp1.110.000
KLEVV SSD CRAS C730 512GB M2 2280 NVME PCLE GEN 3X4,Rp709.000
KLEVV SSD CRAS C730 1TB M2 2280 NVME PCLE GEN 3X4,Rp1.182.000
TEAM MP44L 1TB M2 PCIE X4,Rp1.288.000
PNY XLR8 GAMING CS3040 M2 2280 NVME PCIE GEN 4X4 2TB,Rp2.279.000
COLORFUL SSD SL500 256GB,Rp343.000
MSI SPATIUM M370 M2 NVME PCIE GEN 3X4 128GB,Rp354.000
SAMSUNG SSD 990 PRO M2 PCIE GEN 4X4 1TB MZ V9P1T0BW,Rp2.325.000
SAMSUNG SSD 990 PRO M2 PCIE GEN 4X4 2TB MZ V9P2T0BW,Rp3.576.000
ADATA LEGEND 710 512GB M2 NVME R 2400MB,Rp615.000
PATRIOT 6PER VPR100 256GB M2 NVME PCIE GEN 3X4,Rp1.053.000
PATRIOT 6PER VP4300 2TB M2 NVME PCIE GEN 4X4,Rp2.145.000
PATRIOT P400 512GB M2 2280 PCIE GEN 4X4,Rp853.000
PATRIOT P400 1TB M2 2280 PCIE GEN 4X4,Rp1.323.000
WDC BLACK SN850X SSD 2TB M2 NVME PCIE GEN 4X4,Rp3.203.000
PNY CS1031 M2 2280 NVME PCIE GEN 3X4 2TB,Rp2.092.000
PNY CS2241 SERIES M2 2280 NVME PCIE GEN 4X4 1TB,Rp1.298.000
PNY CS2241 SERIES M2 2280 NVME PCIE GEN 4X4 500GB,Rp770.000
CUBE GAMING SSD 512GB SATA 2I,Rp442.000
CUBE GAMING SSD 512GB M2 NVME PCIE GEN 3X4,Rp452.000
CUBE GAMING SSD 256GB SATA 2I,Rp241.000
CUBE GAMING SSD 128GB SATA 2I,Rp154.000
CRUCIAL P3 SSD 2TB M2 2280 PCIE GEN 3X4,Rp2.582.000
VENOMRX VRX NVME 512GB M2 PCIE GEN 3,Rp554.000
TRANSCEND 225S 250GB SSD SATA3,Rp505.000
SEAGATE SSD M2 2280 PCIE GEN 3X4 500GB,Rp698.000
PARADOX GAMING BALLISTA SSD 512GB M2 NVME 2280,Rp490.000
KINGSTON SSD NV2 250GB M2 NVME PCIE GEN 4.0X4,Rp541.000
CRUCIAL P5 PLUS SSD 500GB M2 2280 PCIE GEN 4X4,Rp1.079.000
APACER AS2280P4U 512GB M2 NVME PCIE X4,Rp688.000
PNY CS900 SERIES 240GB,Rp216.000
PNY CS1031 M2 2280 NVME PCIE GEN 3X4 1TB,Rp989.000
PNY CS1031 M2 2280 NVME PCIE GEN 3X4 500GB,Rp692.000
CRUCIAL P3 SSD 1TB M2 2280 PCIE GEN 3X4,Rp1.434.000
CRUCIAL P3 SSD 500GB M2 2280 PCIE GEN 3X4,Rp897.000
SAMSUNG T7 PORTABLE TOUCH 2TB USB EXTERNAL SSD,Rp3.054.000
ADATA LEGEND 710 1TB M2 NVME,Rp1.079.000
SSD ADATA LEGEND 710 256GB M2 NVME,Rp420.000
CRUCIAL P3 PLUS SSD 500GB M2 2280 PCIE GEN 4X4,Rp1.001.000
CRUCIAL P3 PLUS SSD 2TB M2 2280 PCIE GEN 4X4,Rp2.639.000
CRUCIAL P3 PLUS SSD 1TB M2 2280 PCIE GEN 4X4,Rp1.544.000
ASUS TUF GAMING A1 M2 SSD ENCLOSURE USB TYPE C,Rp651.000
ACE POWER SSD A2 480GB SATA3,Rp467.000
SSD CUBE GAMING 120GB,Rp170.000
SEAGATE ONE TOUCH SSD 2TB,Rp3.552.000
SEAGATE FIRECUDA 530 SSD 2TB M2 PCIE GEN4 �4,Rp3.880.000
KINGDIAN S370 512GB SSD SATA 2I,Rp551.000
KINGDIAN S370 256GB SSD SATA 2I,Rp239.000
PNY CS2140 M2 2280 NVME PCIE GEN 4X4 1TB,Rp662.000
PNY CS2140 M2 2280 NVME PCIE GEN 4X4 500GB,Rp636.000
CUBE GAMING SSD CG8 SERIES 240GB SATA 2I,Rp250.000
CUBE GAMING SSD CG8 SERIES 120GB SATA 2I,Rp170.000
CUBE GAMING CG8 SERIES 256GB M2 NVME PCIE GEN 3X4,Rp277.000
CUBE GAMING CG8 SERIES 128GB M2 NVME PCIE GEN 3X4,Rp190.000
ACE POWER SSD A2 240GB SATA3,Rp184.000
DAHUA 512GB M2 NVME PCIE,Rp634.000
DAHUA SSD 128GB SATA3,Rp198.000
PARADOX GAMING BALLISTA SSD 256GB M2 NVME 2280,Rp370.000
ADATA XPG SX8600 PRO 2TB NVME PCIE GEN 3X4,Rp1.598.000
ADATA XPG SX8600 PRO 1TB NVME PCIE GEN 3X4,Rp1.069.000
PARADOX GAMING CORE SSD 128GB SATA3,Rp146.000
PARADOX GAMING CORE SSD 256GB SATA3,Rp189.000
PARADOX GAMING BALLISTA SSD 1TB M2 NVME 2242,Rp938.000
VENOMRX VRX 256GB,Rp311.000
VENOMRX VRX 240GB,Rp244.000
PARADOX GAMING CORE SSD 512GB SATA3,Rp495.000
WDC BLACK SN770 SSD 250GB M2 NVME PCIE GEN 4X4,Rp766.000
CORSAIR 1TB CSSD F1000GBMP600R2 MP600 R2,Rp1.403.000
TEAM CARDEA A440 1TB M2 PCIE GEN 4.0X4 WITH HEATSINK,Rp1.283.000
SEAGATE SSD M2 2280 PCIE GEN 3X4 2TB,Rp2.112.000
KINGSTON SSD NV1 2TB M2 NVME PCIE GEN 3.0X4,Rp2.512.000
CRUCIAL MX500 SSD 2TB 3D NAND SATA3,Rp2.582.000
CRUCIAL P2 SSD 2TB M2 2280 PCIE GEN 3X4,Rp2.498.000
CRUCIAL P2 SSD 500GB M2 2280 PCIE GEN 3X4,Rp625.000
CRUCIAL P2 SSD 250GB M2 2280 PCIE GEN 3X4,Rp432.000
CRUCIAL P5 PLUS SSD 1TB M2 2280 PCIE GEN 4X4,Rp1.695.000
CRUCIAL P5 PLUS SSD 2TB M2 2280 PCIE GEN 4X4,Rp3.111.000
TEAM CARDEA Z44Q 2TB M2 PCIE GEN 4.0X4 WITH HEATSINK,Rp1.711.000
COLORFUL SSD CN300 M2 128GB,Rp227.000
ADATA LEGEND 740 1TB NVME PCIE GEN 3X4,Rp756.000
TEAM T FORCE VULCAN Z SSD 240GB SATA3,Rp265.000
TEAM T FORCE VULCAN Z SSD 480GB SATA3,Rp484.000
KLEVV R1 PORTABLE SSD 500GB USB GEN2,Rp873.000
KLEVV R1 PORTABLE SSD 1TB USB GEN2,Rp1.490.000
TEAM CARDEA Z44L 1TB M2 PCIE GEN 4.0X4,Rp766.000
ADATA LEGEND 740 250GB NVME PCIE GEN 3X4,Rp488.000
ADATA LEGEND 740 500GB NVME PCIE GEN 3X4,Rp450.000
