Nama,Harga
ENERMAX CYBERBRON 600W 80 PLUS BRONZE,Rp754.000
ENERMAX CYBERBRON 500W 80 PLUS BRONZE,Rp676.000
BE QUIET PURE POWER 11 750W FM,Rp1.814.000
BE QUIET PURE POWER 11 650W FM,Rp1.608.000
BE QUIET PURE POWER 11 550W FM,Rp1.401.000
BE QUIET DARK POWER 12 1000W FULLY MODULAR,Rp4.415.000
BE QUIET DARK POWER 12 850W,Rp3.905.000
BE QUIET DARK POWER 12 750W,Rp3.293.000
AEROCOOL KCAS PLUS GOLD 650W 80 PLUS GOLD,Rp1.169.000
AEROCOOL KCAS PLUS GOLD 750W 80 PLUS GOLD,Rp1.305.000
FSP CANNON 1300W,Rp2.941.000
SUPER FLOWER LEADEX III BRONZE PRO 850W,Rp1.505.000
SUPER FLOWER LEADEX III BRONZE PRO 750W,Rp1.401.000
SUPER FLOWER LEADEX III BRONZE PRO 550W,Rp1.193.000
SUPER FLOWER LEADEX V GOLD PRO 1000W,Rp2.504.000
ASUS ROG STRIX 750W FULLY MODULAR,Rp2.683.000
RAIDMAX RX 550AU 550W,Rp513.000
RAIDMAX RX 500AF 80 PLUS BRONZE 500W,Rp649.000
RAIDMAX RX 800AE M 80 PLUS GOLD 800W,Rp1.162.000
RAIDMAX RX 735AP R 80 PLUS BRONZE 735W MODULAR,Rp812.000
RAIDMAX RX 600AE M 80 PLUS GOLD 600W,Rp937.000
ASUS ROG STRIX 650W FULLY MODULAR,Rp2.369.000
BE QUIET SFX L POWER 600W,Rp1.814.000
THERMALTAKE TOUGHPOWER GF1 FULL MODULAR 850W 80 PLUS GOLD,Rp2.083.000
X TREME POWER SUPPLY 550 WATT 80 PLUS,Rp466.000
ASUS ROG THOR 1200W FULLY MODULAR,Rp6.038.000
MSI MPG A850GF 850W 80 PLUS GOLD FULL MODULAR,Rp2.065.000
MSI MPG A650GF 650W 80 PLUS GOLD FULL MODULAR,Rp1.635.000
THERMALTAKE TOUGHPOWER GF1 ARGB FULL MODULAR 750W 80 PLUS GOLD,Rp2.139.000
SIMBADDA 380W BOX,Rp277.000
ENERMAX MARBLEBRON 80 PLUS BRONZE 750W,Rp990.000
ENERMAX REVOLUTION DF 80 PLUS GOLD 750W,Rp1.410.000
BITFENIX WHISPER 550W,Rp1.263.000
